Timestamp,Collector_ID,Facet_ID,Err_X_mrad,Err_Y_mrad
1785330553,collector_4,collector_4_f0_4,5.988339987924999,0.5708691164956757
1785330553,collector_4,collector_4_f0_4,2.9941699939624717,0.285434558247824
1785330553,collector_4,collector_4_f0_4,1.9961133293082962,0.19028970549854007
1785330555,collector_4,collector_4_f0_4,1.4970849969812083,0.14271727912389812
1785330555,collector_4,collector_4_f0_4,0.5335132408738603,0.05259561693210174
1785330555,collector_4,collector_4_f0_4,-0.08296816201667497,-0.013115349099088403
1785330555,collector_4,collector_4_f0_4,-0.41095323591510774,-0.053681973559820816
1785330555,collector_4,collector_4_f0_4,-0.7133975666332114,-0.09540569789123395
1785330555,collector_4,collector_4_f0_4,-0.6341311703406386,-0.08480506479221103
1785330555,collector_4,collector_4_f0_4,-0.7644918698999512,-0.10968040237155305
1785330555,collector_4,collector_4_f0_4,-0.890800983752489,-0.13857536610541402
1785330555,collector_4,collector_4_f0_4,-0.8165675684397861,-0.12702741892996516
1785330556,collector_4,collector_4_f0_4,-0.6105010050256356,-0.07925598804856925
1785330556,collector_4,collector_4_f0_4,-0.25814753313415745,0.004912985448493152
1785330556,collector_4,collector_4_f0_4,-0.11195273016448817,0.03562696871060686
1785330556,collector_4,collector_4_f0_4,-0.10495568452921122,0.03340028316619221
1785330556,collector_4,collector_4_f0_4,0.20428974864003238,0.09396491283324124
1785330556,collector_4,collector_4_f0_4,0.1929403181600275,0.08874463989805963
1785330556,collector_4,collector_4_f0_4,0.34619236130961856,0.11299421770754577
1785330556,collector_4,collector_4_f0_4,0.6511248960808093,0.15685817175225697
1785330556,collector_4,collector_4_f0_4,0.6201189486483871,0.1493887350021482
1785330556,collector_4,collector_4_f0_4,0.8914059962620148,0.17848633295097313
1785330556,collector_4,collector_4_f0_4,0.9955937620383726,0.18552804740735865
1785330558,collector_4,collector_4_f0_3,-0.5424196271249501,-0.013684671424446468
1785330558,collector_4,collector_4_f0_3,-0.5140285563880406,-0.010702668928542464
1785330558,collector_4,collector_4_f0_3,-0.3426857042587122,-0.007135112619037561
1785330558,collector_4,collector_4_f0_3,-0.2997442797437301,-0.001579447625938334
1785330558,collector_4,collector_4_f0_3,-0.2759855288170751,0.008151513715249565
1785330558,collector_4,collector_4_f0_3,-0.23411238571557155,0.013089129637228324
1785330558,collector_4,collector_4_f0_3,-0.19313975209065554,0.0163257127267462
1785330558,collector_4,collector_4_f0_3,-0.15536602604543162,0.020042891331863124
1785330558,collector_4,collector_4_f0_3,-0.12558260889473372,0.021663931173255144
1785330558,collector_4,collector_4_f0_3,-0.08337365794720086,0.02742578660377981
1785330560,collector_4,collector_4_f0_3,-0.07579423449746038,0.02493253327616094
1785330560,collector_4,collector_4_f0_3,-0.07852579004014633,0.03121881160259248
1785330560,collector_4,collector_4_f0_3,-0.08292512173155676,0.034782353968744795
1785330560,collector_4,collector_4_f0_3,-0.08767074308563796,0.03628565205289597
1785330560,collector_4,collector_4_f0_3,-0.09220609323817919,0.036264206718446865
1785330560,collector_4,collector_4_f0_3,-0.09581805232369948,0.035602305647292304
1785330561,collector_4,collector_4_f0_3,-0.09618624308035512,0.03376422357740478
1785330561,collector_4,collector_4_f0_3,-0.09663735721004679,0.03125629447440898
1785330561,collector_4,collector_4_f0_3,-0.09485366775483946,0.028831163416532513
1785330561,collector_4,collector_4_f0_3,-0.09011098436710026,0.027389605245704503
1785330561,collector_4,collector_4_f0_3,-0.08400314347911253,0.10363003687597205
1785330561,collector_4,collector_4_f1_3,0.030185274945626527,1.2372996842448845
1785330561,collector_4,collector_4_f1_3,0.032271256652515554,1.33533083737071
1785330562,collector_4,collector_4_f1_3,0.03160047541585369,1.3339703004531074
1785330562,collector_4,collector_4_f1_3,0.028962371080837688,1.2927434362452663
